code,parent_code,level,label_el,label_en
37451000-4,37450000-7,4,Εξοπλισμός υπαίθριων αθλημάτων,Field sports equipment
37451100-5,37451000-4,5,Μπάλες του μπέιζμπολ,Baseballs
37451110-8,37451100-5,6,Προστατευτικά πλέγματα ή φράχτες του μπέιζμπολ,Baseball backstops or fences
37451120-1,37451100-5,6,Βάσεις του μπέιζμπολ,Baseball bases
37451130-4,37451100-5,6,Μπαστούνια του μπέιζμπολ,Baseball bats
37451140-7,37451100-5,6,Βοηθήματα προπόνησης μπέιζμπολ,Baseball batting aids
37451150-0,37451100-5,6,Γάντια του μπέιζμπολ,Baseball gloves
37451160-3,37451100-5,6,Προστατευτικός εξοπλισμός μπέιζμπολ ή σόφτμπολ,Baseball or softball protective gear
37451200-6,37451000-4,5,Χόκεϊ επί χόρτου,Field hockey equipment
37451210-9,37451200-6,6,Μπάλες χόκεϊ επί χόρτου,Field hockey balls
37451220-2,37451200-6,6,Μπαστούνια χόκεϊ επί χόρτου,Field hockey sticks
37451300-7,37451000-4,5,Μπάλες αμερικανικού ποδοσφαίρου,Footballs
37451310-0,37451300-7,6,Προσομοιωτές αμυντικών αντίπαλης ομάδας για προπόνηση αμερικανικού ποδοσφαίρου,Football blocking sleds
37451320-3,37451300-7,6,Υποστηρίγματα τοποθέτησης μπάλας για λάκτισμα στο αμερικανικό ποδόσφαιρο,Football kicking tees
37451330-6,37451300-7,6,Προσομοιωτές αντικανονικού μαρκαρίσματος για προπόνηση στο αμερικανικό ποδόσφαιρο,Football tackling dummies
37451340-9,37451300-7,6,Εξοπλισμός σημαιών,Flag football gear
37451400-8,37451000-4,5,Μπάλες του λακρός,Lacrosse balls
37451500-9,37451000-4,5,Μπαστούνια του λακρός,Lacrosse sticks
37451600-0,37451000-4,5,Μηχανές ρίψης μπάλας,Pitching machines
37451700-1,37451000-4,5,Μπάλες ποδοσφαίρου,Soccer balls
37451710-4,37451700-1,6,Εξοπλισμός σήμανσης γηπέδων ποδοσφαίρου,Soccer field marking equipment
37451720-7,37451700-1,6,Προστατευτικός εξοπλισμός ποδοσφαίρου,Soccer protective equipment
37451730-0,37451700-1,6,Βοηθήματα προπόνησης ποδοσφαίρου,Soccer training aids
37451800-2,37451000-4,5,Μπάλες του σόφτμπολ,Softballs
37451810-5,37451800-2,6,Μπαστούνια του σόφτμπολ,Softball bats
37451820-8,37451800-2,6,Γάντια του σόφτμπολ,Softball gloves
37451900-3,37451000-4,5,Χειροσφαίριση,Handballs
37451920-9,37451900-3,6,Σχολικά σετ χειροσφαίρισης,Team handball school sets
37452000-1,37450000-7,4,Ρακέτες και εξοπλισμός αθλημάτων γηπέδου,Racquet and court sports equipment
37452100-2,37452000-1,5,Μπάντμιντον,Badminton equipment
37452110-5,37452100-2,6,Μπάλες με φτερά ή μπάλες του μπάντμιντον,Badminton birdies or shuttlecocks
37452120-8,37452100-2,6,Ρακέτες του μπάντμιντον,Badminton rackets
37452200-3,37452000-1,5,Μπάλες καλαθοσφαίρισης,Basketballs
37452210-6,37452200-3,6,Πλήρη συστήματα παιχνιδιού για καλαθοσφαίριση,Basketball complete game systems
37452300-4,37452000-1,5,Προστατευτικός εξοπλισμός για χόκεϊ κλειστού χώρου,Floor hockey protective equipment
37452400-5,37452000-1,5,"Μπαλάκια, λαβές και πλέγματα (χορδές) για ρακέτες του ράκετμπολ","Racquetball balls, grips and strings"
37452410-8,37452400-5,6,Μπαλάκια του ράκετμπολ,Racquetball balls
37452420-1,37452400-5,6,Λαβές για ρακέτες του ράκετμπολ,Racquetball grips
37452430-4,37452400-5,6,Πλέγματα (χορδές) για ρακέτες του ράκετμπολ,Racquetball strings
37452500-6,37452000-1,5,Ρακέτες του ράκετμπολ,Racquetball rackets
37452600-7,37452000-1,5,Σκουός,Squash equipment
37452610-0,37452600-7,6,Μπάλες του σκουός,Squash balls
37452620-3,37452600-7,6,Ρακέτες του σκουός,Squash racquets
37452700-8,37452000-1,5,Αντισφαίριση,Tennis equipment
37452710-1,37452700-8,6,Μπάλες αντισφαίρισης,Tennis balls
37452720-4,37452700-8,6,Εξοπλισμός γηπέδων αντισφαίρισης,Tennis court equipment
37452730-7,37452700-8,6,Ρακέτες αντισφαίρισης,Tennis racquets
37452740-0,37452700-8,6,Βοηθήματα προπόνησης για αντισφαίριση,Tennis training aids
37452800-9,37452000-1,5,Μπάλες και στύλοι tetherball (παιχνίδι για δύο με μπάλα δεμένη με σχοινί σε στύλο όπου ο σκοπός είναι να τυλιχτεί πλήρως το σχοινί γύρω από το στύλο),Tether balls and poles
37452810-2,37452800-9,6,Μπάλες tetherball,Tether balls
37452820-5,37452800-9,6,Στύλοι tetherball,Tether poles
37452900-0,37452000-1,5,Μπάλες πετοσφαίρισης,Volleyballs
37452910-3,37452900-0,6,Βασικός εξοπλισμός γυμναστηρίου πετοσφαίρισης,Volleyball gymnasium standards
37452920-6,37452900-0,6,Αποθηκευτικές διατάξεις για μπάλες και δίχτυα πετοσφαίρισης,Volleyball storage for balls or nets
37453000-8,37450000-7,4,Εξοπλισμός αθλημάτων στίβου,Track sports equipment
37453100-9,37453000-8,5,Ακόντια,Javelins
37453200-0,37453000-8,5,Πήχεις αλμάτων,Jumping bars
37453300-1,37453000-8,5,Δίσκοι,Discus
37453400-2,37453000-8,5,Σφαίρες,Shotputs
37453500-3,37453000-8,5,Κοντάρια άλματος επί κοντώ,Vaulting poles
37453600-4,37453000-8,5,Εμπόδια,Hurdles
37453700-5,37453000-8,5,Σκυτάλες,Batons
37460000-0,37400000-2,3,Εξοπλισμός για παιχνίδια με στόχους και επιτραπέζια παιχνίδια,Target and table games and equipments
37461000-7,37460000-0,4,Επιτραπέζια παιχνίδια και σχετικός εξοπλισμός,Table games and equipment
37461100-8,37461000-7,5,Τραπέζια ή εξαρτήματα για χόκεϊ με αέρα,Air hockey tables or accessories
37461200-9,37461000-7,5,Μπάλες επιτραπέζιου ποδοσφαίρου,Foosballs
37461210-2,37461200-9,6,Αναπληρωματικοί παίκτες επιτραπέζιου ποδοσφαίρου,Foosball replacement players
37461220-5,37461200-9,6,Τραπέζια επιτραπέζιου ποδοσφαίρου,Foosball tables
37461300-0,37461000-7,5,Στέκες μπιλιάρδου,Pool cues
37461400-1,37461000-7,5,Shuffleboard (επιτραπέζιο παιχνίδι στο οποίο οι παίκτες σπρώχνουν δίσκους ή βάρη σε μαρκαρισμένα πεδία βαθμολογίας στην απέναντι πλευρά του τραπεζιού),Shuffleboard equipment
37461500-2,37461000-7,5,Τραπέζια επιτραπέζιας αντισφαίρισης,Tennis tables
37461510-5,37461500-2,6,Μπαλάκια επιτραπέζιας αντισφαίρισης,Table tennis balls
37461520-8,37461500-2,6,Ρακέτες επιτραπέζιας αντισφαίρισης,Table tennis paddles
37462000-4,37460000-0,4,Παιχνίδια με στόχους και σχετικός εξοπλισμός,Target games and equipment
37462100-5,37462000-4,5,Εξοπλισμός τοξοβολίας,Archery equipments
37462110-8,37462100-5,6,Προφυλακτήρες χεριού για τοξοβολία,Archery arm guards
37462120-1,37462100-5,6,Βέλη τοξοβολίας,Archery arrows
37462130-4,37462100-5,6,Προστατευτικά πλέγματα τοξοβολίας,Archery backstops
37462140-7,37462100-5,6,Χορδές τόξων τοξοβολίας,Archery bow strings
37462150-0,37462100-5,6,Τόξα τοξοβολίας,Archery bows
37462160-3,37462100-5,6,Γάντια τοξοβολίας,Archery gloves
37462170-6,37462100-5,6,Βάσεις στόχων τοξοβολίας,Archery target stands
37462180-9,37462100-5,6,Στόχοι τοξοβολίας,Archery targets
37462200-6,37462000-4,5,Παιχνίδι με βελάκια,Darts
37462210-9,37462200-6,6,Στόχοι για παιχνίδι με βελάκια,Dart boards
37462300-7,37462000-4,5,Βελάκια,Throwing targets
37462400-8,37462000-4,5,Εξοπλισμός σκοποβολής επί εκτοξευόμενων αντικειμένων,Trapshooting equipment
37470000-3,37400000-2,3,Εξοπλισμός γκολφ και μπόουλινγκ,Golf and bowling equipments
37471000-0,37470000-3,4,Εξοπλισμός γκολφ,Golf equipment
37471100-1,37471000-0,5,Σάκοι του γκολφ,Golf bags
37471200-2,37471000-0,5,Μπάλες του γκολφ,Golf balls
37471300-3,37471000-0,5,Μπαστούνια του γκολφ,Golf clubs
37471400-4,37471000-0,5,Υποστηρίγματα τοποθέτησης μπάλας του γκολφ,Golf tees
37471500-5,37471000-0,5,Καλύμματα άκρου για μπαστούνια του γκολφ,Golf club head covers
37471600-6,37471000-0,5,Γάντια του γκολφ,Golf gloves
37471700-7,37471000-0,5,Διατάξεις επιδιόρθωσης του τμήματος του χλοοτάπητα που βγαίνει κατά τη διάρκεια του χτυπήματος,Divot fixers
37471800-8,37471000-0,5,Μονοκυάλια για γήπεδα του γκολφ,Golfscopes
37471900-9,37471000-0,5,Προσομοιωτές τρύπας του γκολφ,Golf putting partner
37472000-7,37470000-3,4,Εξοπλισμός μπόουλινγκ,Bowling equipments
37480000-6,37400000-2,3,Μηχανές ή συσκευές για εξοπλισμό δρατηριοτήτων ελεύθερου χρόνου,Machinery or apparatus for leisure equipment
37481000-3,37480000-6,4,Μηχανές διατήρησης πάγου,Ice maintenance machines
37482000-0,37480000-6,4,Πίνακες ανακοινώσεων με πληροφορίες σχετικά με αθλήματα,Sports information billboards
37500000-3,37000000-8,2,Επιτραπέζια και παιδικά παιχνίδια· μέσα διασκέδασης για υπαίθριους χώρους πανηγυριών,Games and toys; fairground amusements
37510000-6,37500000-3,3,Κούκλες,Dolls
37511000-3,37510000-6,4,Κουκλόσπιτα,Doll houses
37512000-0,37510000-6,4,Μέρη ή εξαρτήματα για κούκλες,Doll parts or accessories
37513000-7,37510000-6,4,Μαριονέτες,Puppets
37513100-8,37513000-7,5,Κουκλοθέατρα,Puppet theatres
37520000-9,37500000-3,3,Παιδικά παιχνίδια,Toys
37521000-6,37520000-9,4,Παιδικά μουσικά όργανα,Toy musical instruments
37522000-3,37520000-9,4,Τροχοφόρα παιχνίδια,Wheeled toys
37523000-0,37520000-9,4,Παζλ,Puzzles
37524000-7,37520000-9,4,Παιχνίδια,Games
37524100-8,37524000-7,5,Εκπαιδευτικά παιχνίδια,Educational games
37524200-9,37524000-7,5,Επιτραπέζια παιχνίδια,Board games
37524300-0,37524000-7,5,Κλασικά παιχνίδια,Classic games
37524400-1,37524000-7,5,Παιχνίδια συνεργασίας,Collaborative games
37524500-2,37524000-7,5,Παιχνίδια στρατηγικής,Strategy games
37524600-3,37524000-7,5,Παιχνίδια μνήμης,Memory games
37524700-4,37524000-7,5,Εξαρτήματα παιχνιδιών,Game accessories
37524800-5,37524000-7,5,Παιχνίδια λαχειοφόρου αγοράς,Lotto games
37524810-8,37524800-5,6,Δελτία λαχειοφόρου αγοράς,Lottery formulary
37524900-6,37524000-7,5,Σετ παιχνιδιών,Game kits
37525000-4,37520000-9,4,Μπαλόνια και μπάλες (παιχνίδια),Toy balloons and balls
37526000-1,37520000-9,4,Κουβαδάκια,Toy pails
37527000-8,37520000-9,4,Τρένα και οχήματα (παιχνίδια),Toy trains and vehicles
37527100-9,37527000-8,5,Τρένα (παιχνίδια),Toy trains
37527200-0,37527000-8,5,Οχήματα (παιχνίδια),Toy vehicles
37528000-5,37520000-9,4,Όπλα (παιχνίδια),Toy weapons
37529000-2,37520000-9,4,Φουσκωτά παιχνίδια και παιχνίδια με αναβάτη,Inflatable and riding toys
37529100-3,37529000-2,5,Φουσκωτά παιχνίδια,Inflatable toys
37529200-4,37529000-2,5,Παιχνίδια με αναβάτη,Riding toys
37530000-2,37500000-3,3,"Είδη για λούνα παρκ, για επιτραπέζια παιχνίδια ή παιχνίδια συναναστροφής","Articles for funfair, table or parlour games"
37531000-9,37530000-2,4,Παιγνιόχαρτα,Playing cards
37532000-6,37530000-2,4,Ηλεκτρονικά παιχνίδια,Video games
37533000-3,37530000-2,4,Μπιλιάρδα,Billiards
37533100-4,37533000-3,5,Μπάλες του μπιλιάρδου,Billiard balls
37533200-5,37533000-3,5,Κιμωλία μπιλιάρδου,Billiard chalk
37533300-6,37533000-3,5,Μύτες για στέκες μπιλιάδου,Billiard cue tips
37533400-7,37533000-3,5,Τρίγωνα μπιλιάρδου,Billiard racks
37533500-8,37533000-3,5,Τραπέζια μπιλιάρδου,Billiard tables
37534000-0,37530000-2,4,Παιχνίδια που λειτουργούν με τη ρίψη κέρματος ή την εισαγωγή δισκέτας,Coin- or disc-operated games
37535000-7,37530000-2,4,"Περιστρεφόμενες εξέδρες, κούνιες, περίπτερα σκοποβολής και άλλα μέσα διασκέδασης για υπαίθριους χώρους πανηγυριών","Roundabouts, swings, shooting galleries and other fairground amusements"
37535100-8,37535000-7,5,Κούνιες,Swings
37535200-9,37535000-7,5,Εξοπλισμός παιδικής χαράς,Playground equipment
37535210-2,37535200-9,6,Κούνιες παιδικής χαράς,Playground swings
37535220-5,37535200-9,6,Εξολισμός αναρρίχησης για παιδικές χαρές,Playground climbing apparatus
37535230-8,37535200-9,6,Γύροι για παιδικές χαρές,Playground merry go rounds
37535240-1,37535200-9,6,Τσουλήθρες για παιδικές χαρές,Playground slides
37535250-4,37535200-9,6,Τραμπάλες για παιδικές χαρές,Playground see saws
37535260-7,37535200-9,6,Σήραγγες για παιδικές χαρές,Playground tunnels
37535270-0,37535200-9,6,Κιβώτια άμμου για παιδικές χαρές,Playground sandboxes
37535280-3,37535200-9,6,Κερκίδες για παιδικές χαρές,Playground bleachers
37535290-6,37535200-9,6,Εξοπλισμός αναρρίχησης σε τοίχο και αναρρίχησης με σχοινιά,Wall and rope climbing equipment
37535291-3,37535290-6,7,Εξοπλισμός αναρρίχησης σε τοίχο,Wall climbing equipment
37535292-0,37535290-6,7,Εξοπλισμός αναρρίχησης με σχοινιά,Rope climbing equipment
37540000-5,37500000-3,3,Μηχανές τυχερών παιχνιδιών,Gambling machines
37800000-6,37000000-8,2,Είδη χειροτεχνίας και καλλιτεχνίας,Handicraft and art supplies
37810000-9,37800000-6,3,Είδη χειροτεχνίας,Handicraft supplies
37820000-2,37800000-6,3,Υλικά καλλιτεχνίας,Art supplies
37821000-9,37820000-2,4,Πινέλα καλλιτεχνών,Artists' brushes
37822000-6,37820000-2,4,Στυλογράφοι σχεδιασμού,Drawing pens
37822100-7,37822000-6,5,Κραγιόνια,Crayons
37822200-8,37822000-6,5,Κάρβουνο σχεδίασης,Drawing charcoal
37822300-9,37822000-6,5,Κιμωλίες,Chalks
37822400-0,37822000-6,5,Παστέλ,Pastels
37823000-3,37820000-2,4,Λαδόχαρτο και άλλα είδη χαρτιού,Greaseproof paper and other paper items
37823100-4,37823000-3,5,Λαδόχαρτο,Greaseproof paper
37823200-5,37823000-3,5,Χαρτί ιχνογραφίας,Tracing paper
37823300-6,37823000-3,5,Υαλόχαρτο,Glassine paper
37823400-7,37823000-3,5,Διαφανές ή ημιδιαφανές χαρτί,Transparent or translucent paper
37823500-8,37823000-3,5,Χαρτί καλλιτεχνίας και χειροτεχνίας,Art and craft paper
37823600-9,37823000-3,5,Χαρτί σχεδιασμού,Drawing paper
37823700-0,37823000-3,5,Χαρτογραφικό χαρτί,Paper for maps
37823800-1,37823000-3,5,Πολύπτυχο χαρτί και χαρτόνι,Multi-ply paper and paperboard
37823900-2,37823000-3,5,Χαρτί περιτυλίγματος,Kraftliner
38000000-5,,1,"Εξοπλισμός εργαστηριακός, οπτικός και ακριβείας (εκτός από γυαλιά)","Laboratory, optical and precision equipments (excl. glasses)"
38100000-6,38000000-5,2,Όργανα πλοήγησης και μετεωρολογίας,Navigational and meteorological instruments
38110000-9,38100000-6,3,Όργανα ναυσιπλοΐας,Navigational instruments
38111000-6,38110000-9,4,Εξοπλισμός προσανατολισμού,Direction-finding equipment
38111100-7,38111000-6,5,Πυξίδες,Compasses
38111110-0,38111100-7,6,Εξαρτήματα πυξίδων,Compass accessories
38112000-3,38110000-9,4,Εξάντες,Sextants
38112100-4,38112000-3,5,Συστήματα παγκόσμιας πλοήγησης και παγκόσμιου προσδιορισμού θέσης (GPS ή ισοδύναμα),Global navigation and positioning systems (GPS or equivalent)
38113000-0,38110000-9,4,Συσκευές ηχητικού εντοπισμού,Sonars
38114000-7,38110000-9,4,Ηχοβολίδες,Echo sounders
38115000-4,38110000-9,4,Συσκευές ραντάρ,Radar apparatus
38115100-5,38115000-4,5,Εξοπλισμός παρακολούθησης με ραντάρ,Radar surveillance equipment
38120000-2,38100000-6,3,Μετεωρολογικά όργανα,Meteorological instruments
38121000-9,38120000-2,4,Ανεμόμετρα,Anemometers
38122000-6,38120000-2,4,Βαρόμετρα,Barometers
38123000-3,38120000-2,4,Συσκευές καταγραφής δεδομένων κατακρήμνισης και εξάτμισης,Precipitation or evaporation recorders
38124000-0,38120000-2,4,Συσκευές ραδιοβόλησης,Radiosonde apparatus
38125000-7,38120000-2,4,Συσκευές καταγραφής δεδομένων βροχόπτωσης,Rainfall recorders
38126000-4,38120000-2,4,Επίγειες συσκευές παρατήρησης,Surface observing apparatus
38126100-5,38126000-4,5,Επίγειες συσκευές παρατήρησης φαινομένων κατακρήμνισης και εξάτμισης,Precipitation or evaporation surface observing apparatus
38126200-6,38126000-4,5,Επίγειες συσκευές παρατήρησης ηλιακής ακτινοβολίας,Solar radiation surface observing apparatus
38126300-7,38126000-4,5,Επίγειες συσκευές παρατήρησης θερμοκρασίας ή υγρασίας,Temperature or humidity surface observing apparatus
38126400-8,38126000-4,5,Επίγειες συσκευές παρατήρησης ανεμομετρικών στοιχείων,Wind surface observing apparatus
38127000-1,38120000-2,4,Μετεωρολογικοί σταθμοί,Weather stations
38128000-8,38120000-2,4,Εξαρτήματα μετεωρολογικών οργάνων,Meteorology instrument accessories
38200000-7,38000000-5,2,Γεωλογικά και γεωφυσικά όργανα,Geological and geophysical instruments
38210000-0,38200000-7,3,Γεωλογικές πυξίδες,Geological compasses
38220000-3,38200000-7,3,Συσκευές γεωλογικής διασκόπησης,Geological prospecting apparatus
38221000-0,38220000-3,4,Συστήματα γεωγραφικών πληροφοριών (GIS ή ισοδύναμα),Geographic information systems (GIS or equivalent)
38230000-6,38200000-7,3,Ηλεκτρομαγνητικά γεωφυσικά όργανα,Electromagnetic geophysical instruments
38240000-9,38200000-7,3,Γεωφυσικά όργανα βαρύτητας,Gravity geophysical instruments
38250000-2,38200000-7,3,Γεωφυσικά όργανα επαγόμενης πόλωσης (IP),Induced polarization IP geophysical instruments
38260000-5,38200000-7,3,Γεωφυσικά όργανα μαγνητομέτρων,Magnetometer geophysical instruments
38270000-8,38200000-7,3,Γεωφυσικά όργανα ειδικής αντίστασης,Resistivity geophysical instruments
38280000-1,38200000-7,3,Βαρύμετρα,Gravimeters
38290000-4,38200000-7,3,"Όργανα και συσκευές τοπογραφικά, υδρογραφικά, ωκεανογραφικά και υδρολογικά","Surveying, hydrographic, oceanographic and hydrological instruments and appliances"
38291000-1,38290000-4,4,Συσκευές τηλεμετρίας,Telemetry apparatus
38292000-8,38290000-4,4,Υδρογραφικά όργανα,Hydrographic instruments
38293000-5,38290000-4,4,Σεισμολογικός εξοπλισμός,Seismic equipment
38294000-2,38290000-4,4,Θεοδόλιχοι,Theodolites
38295000-9,38290000-4,4,Τοπογραφικός εξοπλισμός,Topography equipment
38296000-6,38290000-4,4,Όργανα γεωδαισίας,Surveying instruments
38300000-8,38000000-5,2,Όργανα μετρήσεων,Measuring instruments
38310000-1,38300000-8,3,Ζυγοί ακριβείας,Precision balances
38311000-8,38310000-1,4,Ηλεκτρονικοί ζυγοί και εξαρτήματα,Electronic scales and accessories
38311100-9,38311000-8,5,Ηλεκτρονικοί αναλυτικοί ζυγοί,Electronic analytical balances
38311200-0,38311000-8,5,Ηλεκτρονικοί τεχνικοί ζυγοί,Electronic technical balances
38311210-3,38311200-0,6,Πρότυπα βάρη βαθμονόμησης,Calibration weights
38320000-4,38300000-8,3,Τραπέζια σχεδίασης,Drafting tables
38321000-1,38320000-4,4,Μηχανές σχεδίασης,Drafting machines
38322000-8,38320000-4,4,Παντογράφοι,Pantographs
38323000-5,38320000-4,4,Λογαριθμικοί κανόνες,Slide rules
38330000-7,38300000-8,3,Όργανα χειρός για τη μέτρηση του μήκους,Hand-held instruments for measuring length
38331000-4,38330000-7,4,Ορθογωνιόμετρα,Squares
38340000-0,38300000-8,3,Όργανα μέτρησης μεγεθών,Instruments for measuring quantities
38341000-7,38340000-0,4,Όργανα μέτρησης ακτινοβολίας,Apparatus for measuring radiation
38341100-8,38341000-7,5,Καταγραφείς δέσμης ηλεκτρονίων,Electron-beam recorders
38341200-9,38341000-7,5,Δοσιμετρητές ακτινοβολίας,Radiation dosimeters
38341300-0,38341000-7,5,Όργανα μέτρησης ηλεκτρικών μεγεθών,Instruments for measuring electrical quantities
38341310-3,38341300-0,6,Αμπερόμετρα,Ammeters
38341320-6,38341300-0,6,Βολτόμετρα,Voltmeters
38341400-1,38341000-7,5,Μετρητές Γκάιγκερ,Geiger counters
38341500-2,38341000-7,5,Συσκευές παρακολούθησης της μόλυνσης,Contamination-monitoring devices
38341600-3,38341000-7,5,Συσκευές παρακολούθησης της ακτινοβολίας,Radiation monitors
38342000-4,38340000-0,4,Παλμοσκόπια,Oscilloscopes
38342100-5,38342000-4,5,Παλμογράφοι,Oscillographs
38343000-1,38340000-0,4,Εξοπλισμός παρακολούθησης σφάλματος,Error-monitoring equipment
38344000-8,38340000-0,4,Συσκευές παρακολούθησης της ρύπανσης,Pollution-monitoring devices
38400000-9,38000000-5,2,Όργανα ελέγχου φυσικών χαρακτηριστικών,Instruments for checking physical characteristics
38410000-2,38400000-9,3,Όργανα μέτρησης,Metering instruments
38411000-9,38410000-2,4,Υδρόμετρα,Hydrometers
38412000-6,38410000-2,4,Θερμόμετρα,Thermometers
38413000-3,38410000-2,4,Πυρόμετρα,Pyrometers
38414000-0,38410000-2,4,Υγρόμετρα,Hygrometers
38415000-7,38410000-2,4,Ψυχρόμετρα,Psychrometers
38416000-4,38410000-2,4,Πεχάμετρα,PH meters
38417000-1,38410000-2,4,Θερμοστοιχεία,Thermocouples
38418000-8,38410000-2,4,Θερμιδόμετρα,Calorimeters
38420000-5,38400000-9,3,"Όργανα μέτρησης της ροής, της στάθμης, και της πίεσης των υγρών και των αερίων","Instruments for measuring flow, level and pressure of liquids and gases"
38421000-2,38420000-5,4,Εξοπλισμός μέτρησης ροής,Flow-measuring equipment
38421100-3,38421000-2,5,Μετρητές νερού,Water meters
38421110-6,38421100-3,6,Μετρητές ροής,Flowmeters
38422000-9,38420000-5,4,Εξοπλισμός μέτρησης στάθμης,Level-measuring equipment
38423000-6,38420000-5,4,Εξοπλισμός μέτρησης πίεσης,Pressure-measuring equipment
38423100-7,38423000-6,5,Δείκτες πίεσης,Pressure gauges
38424000-3,38420000-5,4,Εξοπλισμός μέτρησης και ελέγχου,Measuring and control equipment
38425000-0,38420000-5,4,Εξοπλισμός μηχανικής ρευστών,Fluid mechanics equipment
38425100-1,38425000-0,5,Μανόμετρα,Manometers
38425200-2,38425000-0,5,Ιξωδόμετρα,Viscosimeters
38425300-3,38425000-0,5,Δείκτες βάθους,Depth indicators
38425400-4,38425000-0,5,Συσκευές εκτίμησης δομής,Structure estimation apparatus
38425500-5,38425000-0,5,Συσκευές εκτίμησης ισχύος,Strength estimation apparatus
38425600-6,38425000-0,5,Αραιόμετρα,Pycnometers
38425700-7,38425000-0,5,Συσκευές μέτρησης επιφανειακής τάσης,Surface tension measuring instruments
38425800-8,38425000-0,5,Πυκνόμετρα,Densitometers
38426000-7,38420000-5,4,Κουλόμετρα,Coulometers
38427000-4,38420000-5,4,Μετρητές ηλεκτρομαγνητικής ροής,Fluxmeters
38428000-1,38420000-5,4,Ροόμετρα,Rheometers
38429000-8,38420000-5,4,Περιστροφόμετρα,Rotameters
38430000-8,38400000-9,3,Όργανα και συσκευές ανίχνευσης και ανάλυσης,Detection and analysis apparatus
38431000-5,38430000-8,4,Συσκευές ανίχνευσης,Detection apparatus
38431100-6,38431000-5,5,Συσκευές ανίχνευσης αερίων,Gas-detection apparatus
38431200-7,38431000-5,5,Συσκευές ανίχνευσης καπνού,Smoke-detection apparatus
38431300-8,38431000-5,5,Ανιχνευτές σφάλματος,Fault detectors
38432000-2,38430000-8,4,Συσκευές αναλύσεων,Analysis apparatus
38432100-3,38432000-2,5,Συσκευές ανάλυσης αερίων,Gas-analysis apparatus
38432200-4,38432000-2,5,Χρωματογράφοι,Chromatographs
38432210-7,38432200-4,6,Χρωματογράφοι αερίου,Gas chromatographs
38432300-5,38432000-2,5,Συσκευές ανάλυσης καπναερίων,Smoke-analysis apparatus
38433000-9,38430000-8,4,Φασματοφωτόμετρα,Spectrometers
38433100-0,38433000-9,5,Φασματοφωτόμετρα μάζας,Mass spectrometer
38433200-1,38433000-9,5,Εξοπλισμός μέτρησης εκπομπών,Emission measurement equipment
38433210-4,38433200-1,6,Φασματοφωτόμετρο εκπομπής,Emission spectrometer
38433300-2,38433000-9,5,Αναλυτής φάσματος,Spectrum analyser
38434000-6,38430000-8,4,Αναλυτές,Analysers
38434100-7,38434000-6,5,Αναλυτές διαστολών,Expansion analysers
38434200-8,38434000-6,5,Εξοπλισμός μέτρησης ήχου,Sound-measuring equipment
38434210-1,38434200-8,6,Ακοόμετρα,Sonometers
38434220-4,38434200-8,6,Αναλυτές ηχητικής ταχύτητας,Sound velocity analyzers
38434300-9,38434000-6,5,Εξοπλισμός μέτρησης θορύβου,Noise-measuring equipment
38434310-2,38434300-9,6,Ηχόμετρα,Decibel meter
38434400-0,38434000-6,5,Αναλύτες κραδασμών,Vibration analysers
38434500-1,38434000-6,5,Βιοχημικοί αναλύτες,Biochemical analysers
38434510-4,38434500-1,6,Κυτταρόμετρα,Cytometers
38434520-7,38434500-1,6,Αναλυτές αίματος,Blood analysers
38434530-0,38434500-1,6,Αναλυτές γάλακτος,Milk analysers
38434540-3,38434500-1,6,Βιοϊατρικός εξοπλισμός,Biomedical equipment
38434550-6,38434500-1,6,Μετρητές κυττάρων αίματος,Blood-cell counters
38434560-9,38434500-1,6,Χημικοί αναλυτές,Chemistry analyser
38434570-2,38434500-1,6,Συσκευές αιματολογικών αναλύσεων,Haematology analysers
38434580-5,38434500-1,6,Συσκευές ανάλυσης για ανοσολογικές εξετάσεις,Immunoassay analysers
38435000-3,38430000-8,4,Συσκευές ανίχνευσης υγρών,Apparatus for detecting fluids
38436000-0,38430000-8,4,Ανακινητήρες και εξαρτήματα,Shakers and accessories
38436100-1,38436000-0,5,Μηχανικοί ανακινητήρες,Mechanical shakers
38436110-4,38436100-1,6,Βάσεις κωνικών φιαλών (Erlenmeyer) για προσαρμογή σε ανακινητήρες,Erlenmeyer flask basket for shakers
38436120-7,38436100-1,6,Σφιγκτήρες συγκράτησης κωνικών φιαλών (Erlenmeyer) για προσαρμογή σε ανακινητήρες,Erlenmeyer flask clamps for shakers
38436130-0,38436100-1,6,Υποστάτες για διαχωριστικές φιάλες,Stands for separating funnels
38436140-3,38436100-1,6,Πλατφόρμες με υποδοχές για κλιπ συγκράτησης κωνικών φιαλών (Erlenmeyer) για προσαρμογή σε ανακινητήρες,Platform for Erlenmeyer flask clamps for shakers
38436150-6,38436100-1,6,Υποστάτες τριβλίων Petri για προσαρμογή σε ανακινητήρες,Petri dish stand for shakers
38436160-9,38436100-1,6,Υποστάτες δοκιμαστικών σωλήνων για προσαρμογή σε ανακινητήρες,Test tube stand for shakers
38436170-2,38436100-1,6,Προσαρμογείς φιαλών για ανακινητήρες,Flask adaptor for shakers
38436200-2,38436000-0,5,Περιστροφικοί εξατμιστήρες,Rotating evaporators
38436210-5,38436200-2,6,Προστατευτικά πετάσματα για περιστροφικούς εξατμιστήρες,Protective shield for rotating evaporators
